code,start,sig,tov5,last_flag
1380,2018-12-13,2018-12-18,2.083144,2018-12-21
1382,2022-07-12,2022-07-25,0.291363,2022-08-03
1382,2022-09-02,2022-09-09,4.0163878,2022-09-14
1431,2019-08-26,2019-09-10,0.56576304,2019-09-13
143A,2024-09-09,2024-09-17,1.3663194,2024-09-20
1447,2020-06-29,2020-07-03,14.0716804,2020-07-08
1447,2020-09-28,2020-10-05,26.631635,2020-10-08
1514,2022-12-09,2022-12-26,10.0157514,2023-01-16
1514,2023-12-14,2023-12-26,20.756179,2023-12-29
1514,2024-01-18,2024-02-07,55.136943,2024-03-18
153A,2025-05-14,2025-06-05,3.8792282,2025-06-10
155A,2025-08-07,2025-08-21,1.032886,2025-09-05
1711,2016-10-20,2016-10-27,1.1462978,2016-11-01
1711,2018-01-04,2018-01-18,3.7725384,2018-01-31
1724,2018-08-21,2018-09-04,0.6467426,2018-09-07
1730,2017-11-27,2017-12-12,4.8753808,2017-12-15
1730,2023-12-19,2023-12-22,6.137232,2023-12-27
1840,2019-12-09,2019-12-18,1.3483234,2019-12-23
1840,2020-12-28,2021-01-07,1.6723988,2021-01-19
184A,2025-06-10,2025-06-18,0.9257502,2025-06-23
190A,2024-08-01,2024-08-29,7.2561534,2024-09-03
198A,2025-12-15,2025-12-17,33.8664962,2025-12-19
2134,2016-08-25,2016-08-29,0.1882246,2016-09-29
2144,2018-06-04,2018-06-25,2.9720994,2018-06-28
2144,2018-08-15,2018-09-06,1.1046168,2018-09-11
2150,2017-05-23,2017-06-12,1.11493056,2017-06-15
2158,2020-06-10,2020-06-18,24.5557808,2020-06-30
2158,2021-11-29,2021-12-01,83.245775,2021-12-06
2158,2025-08-04,2025-08-18,22.0113422,2025-08-21
2160,2017-03-03,2017-04-07,55.61954904,2017-04-12
2160,2017-06-26,2017-07-11,22.19098542,2017-07-14
2160,2020-08-27,2020-09-29,41.469243,2020-10-19
2162,2017-08-29,2017-09-05,4.746631,2017-09-08
2164,2018-09-21,2018-11-09,3.8222447760000002,2018-11-14
2164,2019-03-06,2019-03-08,0.10132351199999999,2019-05-10
2176,2018-03-30,2018-04-05,9.9025782,2018-04-10
218A,2025-02-26,2025-03-07,11.2515984,2025-04-08
2191,2018-10-04,2018-10-10,6.9581986,2018-10-15
2191,2020-05-22,2020-06-16,165.3532202,2020-07-01
2195,2022-02-09,2022-02-18,4.54780464,2022-02-24
2195,2022-09-05,2022-09-22,3.54815142,2022-09-28
2195,2022-12-01,2022-12-14,1.1174658,2022-12-19
2195,2026-04-07,2026-04-20,5.0168094,2026-05-01
219A,2025-01-10,2025-01-22,17.041302,2025-01-27
2321,2025-08-15,2025-08-27,4.2627436,2025-09-08
2330,2017-07-11,2017-07-24,12.462821,2017-07-27
2330,2024-02-13,2024-03-18,25.4974984,2024-03-29
2334,2025-04-04,2025-04-16,5.1462892,2025-04-21
2334,2025-07-11,2025-09-11,31.493254,2025-09-17
2334,2025-11-13,2025-11-27,14.2194156,2025-12-02
2340,2016-09-08,2016-09-28,7.715665,2016-10-03
2342,2021-01-28,2021-02-15,3.9469568,2021-02-18
2345,2020-03-05,2020-03-09,8.53657428,2020-03-12
2345,2022-03-30,2022-04-12,3.007662,2022-04-15
2351,2017-05-26,2017-06-23,11.2032518,2017-06-28
2351,2017-07-04,2017-07-19,19.5754078,2017-07-24
2354,2016-08-25,2016-11-01,8.5721918,2016-11-07
2370,2020-06-03,2020-06-15,23.908871,2020-06-24
2370,2021-06-23,2021-07-09,10.6015782,2021-07-14
2375,2023-10-05,2023-11-07,25.6488442,2023-11-10
2388,2022-07-12,2022-07-21,2.0934104,2022-08-02
2388,2022-08-12,2022-08-22,2.6581946,2022-08-25
2397,2017-07-07,2017-07-26,3.567718,2017-08-01
2397,2023-02-16,2023-02-20,10.0063932,2023-02-24
2397,2024-03-07,2024-03-26,1.5832862,2024-03-29
2425,2017-03-30,2017-04-12,1.7051696,2017-04-17
2425,2017-05-12,2017-05-26,2.8480936,2017-05-31
2425,2021-01-26,2021-02-10,1.1549334,2021-02-19
2435,2023-05-23,2023-06-01,2.1357164,2023-06-06
2437,2017-07-27,2017-08-04,9.666974,2017-08-09
2437,2022-06-10,2022-07-05,66.607213,2022-07-13
2438,2022-02-21,2022-02-25,65.894589,2022-03-28
2459,2018-09-12,2018-09-19,2.9389066,2018-10-02
2459,2025-03-28,2025-04-03,1.9687998,2025-04-08
2477,2017-07-12,2017-07-19,3.2321466,2017-07-24
2479,2021-06-04,2021-06-08,3.6444524,2021-06-11
254A,2025-02-13,2025-02-26,13.8196748,2025-03-03
2586,2024-08-22,2024-09-27,10.6820688,2024-10-02
2586,2024-11-08,2024-11-19,65.6970804,2024-11-22
2586,2025-07-11,2025-07-31,30.1550276,2025-08-08
2656,2016-09-20,2016-10-20,21.632188,2016-10-25
2656,2017-06-06,2017-06-15,4.7927074,2017-06-20
2656,2021-02-26,2021-03-16,3.3883536,2021-03-19
265A,2025-08-13,2025-08-21,2.4957062,2025-08-26
2667,2021-04-16,2021-04-27,85.2383488,2021-05-06
2673,2018-09-21,2018-09-28,2.443436,2018-10-03
2673,2021-06-01,2021-06-07,3.0700514,2021-06-10
2687,2023-07-24,2023-08-09,0.7520406,2023-08-15
2693,2017-10-04,2017-10-23,1.8169698,2017-10-26
2693,2017-12-01,2017-12-13,13.8774326,2017-12-18
2693,2019-11-05,2019-11-07,7.0903166,2019-11-19
2700,2025-08-25,2025-09-17,9.152864,2025-09-22
2708,2023-08-23,2023-09-19,0.5972978,2023-09-22
2721,2017-03-03,2017-03-16,0.9465162,2017-03-22
2721,2023-04-11,2023-04-14,7.4753764,2023-04-19
2762,2023-05-22,2023-05-25,2.701119,2023-05-30
276A,2025-01-24,2025-03-03,5.28536,2025-03-06
2778,2017-12-07,2017-12-19,3.1059454,2017-12-22
2778,2021-08-04,2021-08-12,5.0926308,2021-08-17
278A,2025-01-17,2025-03-06,29.494744,2025-03-18
278A,2026-04-07,2026-05-26,73.978858,2026-05-29
278A,2026-07-24,2026-07-29,161.424482,2026-07-31
281A,2025-07-18,2025-08-13,4.5895898,2025-08-18
281A,2026-04-16,2026-04-30,5.2645826,2026-05-15
2901,2019-02-26,2019-02-28,0.0584126,2019-04-24
290A,2025-02-10,2025-02-20,3.9664466,2025-02-26
2926,2021-01-14,2021-01-22,1.4556742,2021-01-27
2929,2018-03-01,2018-03-26,9.1362644,2018-04-04
2929,2020-01-20,2020-01-31,24.3304424,2020-03-03
2929,2021-06-10,2021-06-14,76.620277,2021-08-19
2930,2017-04-04,2017-04-24,10.37733288,2017-04-27
2936,2024-10-28,2024-11-14,5.3556356,2025-07-14
3004,2021-01-18,2021-02-01,8.3218302,2021-02-04
3041,2023-05-15,2023-06-05,3.3051172,2023-06-08
3041,2023-09-07,2023-09-22,2.5057404,2023-09-27
3053,2017-08-24,2017-09-06,12.617169,2017-11-21
3054,2018-01-30,2018-02-07,3.3856372,2018-02-13
3083,2018-03-14,2018-03-20,1.9779908,2018-03-26
3083,2021-11-09,2021-11-24,8.3709118,2021-11-29
3083,2023-02-09,2023-03-22,9.6400386,2023-03-27
3111,2023-03-01,2023-03-15,4.4397094,2023-03-20
3121,2021-11-17,2021-11-30,11.3349412,2021-12-03
3135,2019-02-26,2019-03-11,0.5863274,2019-03-29
3137,2025-04-25,2025-05-02,2.499219,2025-05-09
3161,2020-01-28,2020-02-19,24.8016188,2020-02-25
3185,2021-11-24,2021-11-30,3.7021808,2021-12-03
3185,2024-12-26,2025-01-09,5.992854,2025-01-15
3189,2020-06-29,2020-07-03,12.6239904,2020-07-08
3202,2020-02-12,2020-02-27,15.5613224,2020-03-03
3267,2017-11-17,2017-12-12,9.997907,2017-12-25
3267,2018-01-25,2018-02-16,40.15551,2018-02-28
3326,2021-05-31,2021-06-09,2.5632022,2021-06-14
3328,2022-04-01,2022-04-13,42.8891198,2022-04-18
