n,e1,e1_pf,e1_n,e2,e2_pf,e2_n,e3,e3_pf,e3_n,e4,e4_pf,e4_n,total,design,oos,win_years,worst_year,ex20,rsi,dev,tov,atr,tp,stop,hold,rsi_exit
3269,-756924.1289526457,0.8749010335446049,723,-260370.20217170677,0.9584907917053267,801,-248645.85193610913,0.9598480643568222,857,709095.2072475603,1.1259153762968792,888,-556844.9758129017,-1017294.3311243525,460449.35531145113,11,-428587.4174852967,-1550223.3079729015,35.0,-1.5,2000000000.0,3.0,3.0,2.0,2,50.0
3269,-756924.1289526457,0.8749010335446049,723,-260370.20217170677,0.9584907917053267,801,-248645.85193610913,0.9598480643568222,857,709095.2072475603,1.1259153762968792,888,-556844.9758129017,-1017294.3311243525,460449.35531145113,11,-428587.4174852967,-1550223.3079729015,35.0,-1.5,2000000000.0,3.0,3.0,2.0,2,0.0
2898,-363700.3573214611,0.9424503565305172,660,83313.12747789329,1.012743744779162,734,-709394.2875940797,0.8916818391812841,738,917326.6080082397,1.1563619863633974,766,-72454.90942940803,-280387.2298435678,207932.3204141599,11,-440255.4791701999,-1288041.5735694077,35.0,-1.5,2000000000.0,3.0,3.0,2.0,3,50.0
2896,-343655.3573214611,0.9454536288151725,659,91713.12747789329,1.0140286257983433,734,-709394.2875940797,0.8916818391812841,738,923381.6079802394,1.1574692408381981,765,-37954.909457408416,-251942.2298435678,213987.3203861597,11,-440255.4791701999,-1253541.5735974081,35.0,-1.5,2000000000.0,3.0,3.0,2.0,3,0.0
2579,70443.23071192257,1.0110210762568625,610,92801.71765308356,1.0133806181602587,680,-530629.8515819076,0.9172299184169143,634,1275857.3743080301,1.2244144998430864,655,908472.471091129,163244.94836500613,745227.5227261225,14,-532569.81252806,-282789.19304887054,35.0,-1.5,2000000000.0,3.0,3.0,2.0,5,50.0
2577,44613.230711922486,1.0069798873897742,609,101201.71765308356,1.0145917723865883,680,-515669.8515819073,0.9195634479324355,634,1294622.3743080301,1.2283380632319414,654,924767.471091129,145814.94836500604,778952.5227261228,14,-532569.81252806,-266494.19304887054,35.0,-1.5,2000000000.0,3.0,3.0,2.0,5,0.0
3162,-343078.75079314876,0.9401787504073843,691,103369.41669754972,1.0163733930382295,779,-358360.13512794574,0.9421830674325065,834,620884.2236017401,1.108491834204971,858,22814.754378195736,-239709.33409559904,262524.08847379434,12,-403686.2657336599,-983763.5777818041,35.0,-1.5,2000000000.0,3.0,3.0,3.0,2,50.0
3162,-343078.75079314876,0.9401787504073843,691,103369.41669754972,1.0163733930382295,779,-358360.13512794574,0.9421830674325065,834,620884.2236017401,1.108491834204971,858,22814.754378195736,-239709.33409559904,262524.08847379434,12,-403686.2657336599,-983763.5777818041,35.0,-1.5,2000000000.0,3.0,3.0,3.0,2,0.0
2705,-122276.68481067679,0.9802455893042593,608,472221.5868307359,1.0747252703288401,683,-1156939.25924781,0.8277872845967992,697,530015.3508537196,1.087560041430357,717,-276979.0063740309,349944.9020200591,-626923.9083940905,12,-474069.5156103701,-1392540.671814031,35.0,-1.5,2000000000.0,3.0,3.0,3.0,3,50.0
2704,-122276.68481067679,0.9802455893042593,608,480621.5868307359,1.0760545028083948,683,-1156939.25924781,0.8277872845967992,697,536070.3508257194,1.0886013287593945,716,-262524.006402031,358344.9020200591,-620868.9084220907,12,-474069.5156103701,-1378085.6718420312,35.0,-1.5,2000000000.0,3.0,3.0,3.0,3,0.0
2308,199816.609431763,1.0309714981478988,544,443270.3994581611,1.0640569311691315,606,-1191777.2824598195,0.8249494589673656,569,864210.1162369903,1.1472197799509023,589,315519.8426670949,643087.008889924,-327567.16622282914,16,-739639.18204837,-870125.156672905,35.0,-1.5,2000000000.0,3.0,3.0,3.0,5,50.0
2306,173466.60943176306,1.0268872582114994,543,451670.3994581611,1.065270813761965,606,-1160517.2824598195,0.829334179207799,568,867465.1162369903,1.1477742751769322,589,332084.8426670949,625137.0088899242,-293052.16622282914,16,-739639.18204837,-853560.156672905,35.0,-1.5,2000000000.0,3.0,3.0,3.0,5,0.0
3132,-381970.81858479953,0.9321287957411796,683,452498.9627754999,1.0746673259054613,772,-428043.39293692424,0.9314493778864054,824,392728.5735638998,1.0675597716319298,853,35213.324817675864,70528.14419070038,-35314.81937302445,12,-498155.3922566798,-973715.007342324,35.0,-1.5,2000000000.0,3.0,3.0,4.0,2,50.0
3132,-381970.81858479953,0.9321287957411796,683,452498.9627754999,1.0746673259054613,772,-428043.39293692424,0.9314493778864054,824,392728.5735638998,1.0675597716319298,853,35213.324817675864,70528.14419070038,-35314.81937302445,12,-498155.3922566798,-973715.007342324,35.0,-1.5,2000000000.0,3.0,3.0,4.0,2,0.0
2628,-70724.41763387591,0.9884393243354905,589,756903.2724530662,1.1235668298232202,665,-1145393.5630418784,0.8273051259159468,678,1048092.4412140194,1.1846760304188562,696,588877.7329913313,686178.8548191902,-97301.12182785897,16,-582677.3772410665,-517150.5991686685,35.0,-1.5,2000000000.0,3.0,3.0,4.0,3,50.0
2627,-70724.41763387591,0.9884393243354905,589,765303.2724530662,1.124938156131734,665,-1145393.5630418784,0.8273051259159468,678,1054147.4411860195,1.1858346182200887,695,603332.7329633313,694578.8548191902,-91246.12185585895,16,-582677.3772410665,-502695.5991966685,35.0,-1.5,2000000000.0,3.0,3.0,4.0,3,0.0
