n1,n2,e1,e1_pf,e2,e2_pf,e3,e3_pf,e4,e4_pf,total,design,oos,win_years,worst_year,worst_month,ex3,pf1,avg1,gain,atr,dev,vr,rng,tov,rank,n_cand
3871,2228,11101889.638128418,1.5481036463966598,11967135.557097213,1.310438871625927,3786932.4613365876,1.2409369328653073,7401064.201847201,1.4446486075448532,34257021.85840942,23069025.195225634,11187996.66318379,24,-213322.85959194455,-944961.112500894,33117955.19570942,1.4088280463022869,0.8049488977531949,7.0,4.0,8.0,4.0,3.0,300000000.0,乖離×ATR(現行),12180
3871,2218,10132246.466004837,1.4942001385632429,10367118.51159855,1.262363022499204,2775701.3932558163,1.1687032141843758,6062273.091616951,1.3563871730365853,29337339.462476157,20499364.977603387,8837974.484872768,23,-1526324.0732801275,-767325.0,28198272.799776156,1.3371577985297491,0.6773191326196267,7.0,4.0,8.0,4.0,3.0,300000000.0,乖離のみ,12180
3871,2229,10163845.384182831,1.491502810742008,13080282.638430271,1.355855873114743,3213303.3177928086,1.2014373118663824,6552116.1072112005,1.386668642765962,33009547.44761711,23244128.0226131,9765419.42500401,23,-471462.6755639996,-540099.9999999999,31937080.78491711,1.3966093490760658,0.7603775400473053,7.0,4.0,8.0,4.0,3.0,300000000.0,ATRのみ,12180
3871,2220,9605374.70640143,1.4659522250541885,12728677.219416529,1.3380940340073066,2437830.689597147,1.150406679542067,5318348.962598201,1.3066371903281444,30090231.57801331,22334051.92581796,7756179.6521953475,23,-543747.8036219991,-547150.0,28951164.915313307,1.3531315828111878,0.6840837241379194,7.0,4.0,8.0,4.0,3.0,300000000.0,前日比のみ,12180
3871,2223,10603715.040370349,1.517022707702356,12670562.491261706,1.3280786262628872,2208395.562021147,1.1300896664682285,6377528.011506201,1.367353136965365,31860201.105159406,23274277.531632055,8585923.573527347,22,-1040624.5977779995,-921216.6658513369,30721134.442459404,1.3529480025240166,0.7238367811942884,7.0,4.0,8.0,4.0,3.0,300000000.0,乖離×ATR×前日比,12180
3404,1742,8308624.218214126,1.4927344124269664,11609286.456094708,1.350840313035026,1807209.8241367782,1.1344813186099072,6272631.8215902,1.4064345332899983,27997752.320035815,19917910.674308836,8079841.645726979,24,-20858.340566347673,-603063.3335629998,26904485.657335814,1.3493609744428743,0.6925022522677614,7.0,4.0,8.0,4.0,3.0,500000000.0,乖離×ATR(現行),9514
3404,1745,7440783.8386711255,1.4350170081039075,10064881.1319868,1.2983476062940258,1068332.0779180063,1.0777642506890388,4656426.4257439505,1.2904161037749515,23230423.474319883,17505664.970657926,5724758.503661957,21,-712675.8085124376,-704313.3335629998,22140156.81161988,1.2849576850428048,0.5719442249453162,7.0,4.0,8.0,4.0,3.0,500000000.0,乖離のみ,9514
3404,1748,8894286.929400556,1.5372656660805972,12563589.461036928,1.3947367067647236,1609165.0911499984,1.1205339047960095,5766950.393052202,1.3714807596893328,28833991.874639682,21457876.390437484,7376115.484202201,23,-163284.07788999978,-525823.333563,27810325.21193968,1.3936447900015585,0.7509530699374269,7.0,4.0,8.0,4.0,3.0,500000000.0,ATRのみ,9514
3404,1738,8247278.347365731,1.5004950258660246,12531074.418972775,1.388198543420122,1043350.6610113373,1.077387620011284,4802902.2975252,1.3009386425345655,26624605.724875048,20778352.766338505,5846252.958536537,22,-307869.9974896631,-578450.0004799999,25514339.062175047,1.3735621310643868,0.7073743202966987,7.0,4.0,8.0,4.0,3.0,500000000.0,前日比のみ,9514
3404,1743,8036931.696790387,1.4733096228195481,12954865.786747871,1.3949838218172603,1144835.6691213371,1.0821738157477654,5284648.011161201,1.3286659552063047,27421281.163820796,20991797.48353826,6429483.680282538,22,-356600.9997709995,-726550.00024,26328014.501120795,1.3512088650732907,0.7041663878624032,7.0,4.0,8.0,4.0,3.0,500000000.0,乖離×ATR×前日比,9514
2607,1123,6285006.400218887,1.60850248302596,11659584.17283625,1.5333217905019219,987113.0835522333,1.1086720305869797,3098356.6628969507,1.2327367437067143,22030060.31950432,17944590.573055137,4085469.746449184,22,-998781.3623109995,-506989.99999999994,21021460.31950432,1.3944030038019863,0.7387665126135466,7.0,4.0,8.0,4.0,3.0,1000000000.0,乖離×ATR(現行),6298
2607,1133,6310610.2104267515,1.6174942334914786,10270483.77261922,1.4536385645361614,719750.8605136842,1.0784736672817152,2470827.1399629507,1.180458758427495,19771671.983522605,16581093.983045971,3190578.000476635,21,-1136219.9734939996,-607139.9999999999,18770271.983522605,1.3462836735413035,0.6610950240355047,7.0,4.0,8.0,4.0,3.0,1000000000.0,乖離のみ,6298
2607,1116,6553717.037197507,1.6412175349713152,11820707.961326929,1.5496766719591832,917068.5938334559,1.1010629659352376,2667138.091841951,1.1982028302484158,21958631.68419984,18374424.998524435,3584206.685675407,21,-1256182.796652,-401200.0,21023831.68419984,1.4202202635718033,0.7762099265446498,7.0,4.0,8.0,4.0,3.0,1000000000.0,ATRのみ,6298
2607,1118,6349709.260084418,1.620107337586878,11197037.378876362,1.5087861913337057,622207.5142173474,1.0678429166962011,2028235.2351259508,1.1467463085504446,20197189.388304077,17546746.63896078,2650442.7493432984,21,-1303446.6544869998,-598219.9999999999,19168589.388304077,1.3905919650301828,0.713067943181632,7.0,4.0,8.0,4.0,3.0,1000000000.0,前日比のみ,6298
2607,1124,6279285.059319638,1.607219021116772,11989972.678315237,1.5423008313095428,908598.3988189034,1.0989614667973269,2796377.1383749503,1.2059649238025225,21974233.27482873,18269257.737634875,3704975.5371938534,23,-1087375.2139609996,-655489.9999999999,20965633.27482873,1.424077522438667,0.7948572306895209,7.0,4.0,8.0,4.0,3.0,1000000000.0,乖離×ATR×前日比,6298
3812,2152,11046384.186550748,1.565445771803783,11446770.011517713,1.3000581521998886,3981898.572616809,1.2570372099506613,7264714.6767772,1.439971058301193,33739767.44746247,22493154.198068462,11246613.249394009,24,-651632.8599219446,-955961.112500894,32600700.78476247,1.4060605186803141,0.7965889010566217,7.0,4.0,8.0,4.0,5.0,300000000.0,乖離×ATR(現行),11394
