tot,y2,n,t,t1,t2,wy,ny,tt3,a,b,hold
-38366.70000000042,-18651.150000000125,925,-1.752555073602956,0.3074171219646509,-2.125916623232892,4,11,-50097.15000000037,875,896,21
-40153.80000000054,-19194.45000000025,962,-1.7133612826616205,-0.42220284162062266,-1.682150381290756,4,11,-55832.70000000062,875,897,22
-21292.500000000393,-1365.6000000001368,969,-0.8669594241963366,-0.44561856743519124,-0.7558945158750703,3,11,-37752.45000000039,875,898,23
-17525.250000000753,-2979.149999999916,972,-0.6820229266277468,0.8972071891424337,-1.152869412587194,4,11,-35237.700000000856,875,899,24
15651.30000000042,13329.74999999981,1147,0.4934592270407065,1.3840784572690792,-0.020095314379292635,5,11,-8275.199999999837,875,900,25
51983.550000000105,29628.75000000021,1247,1.5095999619288105,1.509574138897264,1.0255872809955815,8,11,25045.050000000047,875,901,26
62152.80000000021,35889.14999999976,1182,1.8167294719075902,1.7470044611297453,1.236652015634263,9,11,33907.80000000028,875,902,27
69136.35000000006,49096.200000000215,1183,1.9114008935791276,1.172535217974742,1.5846599611096615,9,11,38252.84999999998,875,903,28
73493.99999999967,41847.29999999989,1210,2.0321628241985663,1.8323110429497702,1.415378658328771,8,11,43718.999999999476,875,904,29
47680.349999998834,39416.69999999924,1245,1.2735099926771893,0.9517785137325385,0.9860531154628868,7,11,17274.299999998766,875,905,30
40579.19999999906,29010.59999999939,1216,1.1098937589948021,1.012542849475126,0.7744316576381994,6,11,11656.19999999908,875,906,31
33810.900000000154,24490.049999999974,1172,0.9455016608343007,1.0172837214019779,0.5939125871204342,6,11,5895.450000000128,875,907,32
20596.79999999979,13218.900000000282,1194,0.5800305386190371,0.86306900196815,0.2632615874355864,5,11,-7319.700000000361,875,908,33
19975.799999999414,17519.24999999954,1210,0.5204040920605791,0.9506353142922493,0.16895453561566334,6,11,-12958.20000000071,875,909,34
19825.199999999855,13363.500000000739,1170,0.5358671501664382,1.3966082020393598,-0.02693142564194239,5,11,-10098.30000000028,875,910,35
7235.850000000222,-3384.749999999824,1177,0.20389301147048816,1.0760589018425797,-0.27886466272688903,5,11,-18717.149999999674,875,911,36
11604.89999999941,1446.4499999993604,1149,0.3318538138708648,1.105607765019535,-0.1646309616223897,4,11,-12501.600000000384,875,912,37
11155.199999998922,-2812.5000000008204,1136,0.32407011652371276,0.7155334652825097,0.007005063925566913,6,11,-10987.800000001094,875,913,38
8170.500000001064,-4888.499999999134,1113,0.23929128130106395,0.6414222073123199,-0.053837162329449115,6,11,-14233.499999998836,875,914,39
11514.1499999991,-3247.2000000002536,1149,0.3238649944161656,0.7693324934098548,-0.012178516253987706,6,11,-12292.350000000966,875,915,40
5863.950000000358,-8540.099999999857,1188,0.16011702687040114,0.5153484470773995,-0.07006145118772768,5,11,-17774.549999999697,875,916,41
20877.29999999956,4101.75000000011,1164,0.5748220245435219,0.5670054983429541,0.36819699306657266,6,11,-2354.7000000003027,875,917,42
10641.60000000017,-1854.299999999861,1176,0.28998304044535717,0.9307945598362705,-0.13127901818867316,5,11,-13043.399999999907,875,918,43
13698.449999999637,2872.0499999997255,1163,0.3802913441556835,0.8416099679015124,0.00029855877867240605,5,11,-10247.550000000221,875,919,44
14438.250000000186,7147.9500000006265,1131,0.4030773765344507,0.9567973955386275,-0.031352676673791796,5,11,-9446.249999999884,875,920,45
-24745.500000000386,-12089.850000000075,863,-1.251820214187369,-0.37933930221501755,-1.2150770964043633,3,11,-36451.95000000042,876,896,20
-33130.65000000027,-19758.59999999999,968,-1.4980725067681069,-0.6126459870836332,-1.3672482969613442,3,11,-47402.100000000355,876,897,21
-36721.65000000015,-24266.549999999814,967,-1.6081808814447833,-0.2232286673743129,-1.6733822572742798,3,11,-51138.600000000035,876,898,22
-38800.20000000049,-23981.549999999614,960,-1.6299786873280488,0.6660602903766278,-2.1267129647811687,4,11,-53541.1500000004,876,899,23
-20402.849999999067,-16115.399999999434,1124,-0.7564830248655535,1.12410437810969,-1.3467133744215314,5,11,-37266.29999999917,876,900,24
26979.600000000668,5934.600000000804,1245,0.8741547582607991,1.669243596146053,0.1935646023165386,8,11,8734.650000000547,876,901,25
50845.649999999834,19907.54999999981,1149,1.5298736707851168,2.543480400422674,0.5309872865750442,7,11,23937.149999999907,876,902,26
62525.84999999972,29782.950000000208,1116,1.8036939117926236,1.9158570798241945,1.1143278018642448,8,11,33914.84999999945,876,903,27
46870.199999999146,16099.500000000127,1151,1.3625067358616205,1.5013652376599675,0.8134575451902883,6,11,19007.69999999914,876,904,28
32681.099999998944,17960.699999999786,1193,0.9205461357650065,0.8424294008122103,0.6367059260444892,6,11,3725.549999998999,876,905,29
-5317.050000001577,-11423.550000000574,1143,-0.17647813331693202,0.5231714450564626,-0.46202230850965137,6,11,-21703.0500000015,876,906,30
-13238.250000000195,-22052.54999999975,1116,-0.43059753720971183,0.4620374741026818,-0.7117600715332797,6,11,-30848.700000000128,876,907,31
-26044.800000001087,-20212.349999999915,1125,-0.8629195960679564,0.5889271960226843,-1.2605799212485567,5,11,-44638.80000000098,876,908,32
-35921.10000000105,-29251.050000000196,1143,-1.1609806399374532,0.6208310517582583,-1.6136148491658528,5,11,-53981.100000001024,876,909,33
-28216.20000000053,-30002.54999999917,1126,-0.9309680735390394,1.0366959679599965,-1.6145678849448657,5,11,-45283.20000000071,876,910,34
-17667.450000000314,-26253.2999999999,1147,-0.5725678690829904,1.0355885216940532,-1.1977639854435467,5,11,-34216.50000000029,876,911,35
-27123.00000000094,-30404.10000000031,1132,-0.8590531642490375,0.6782560904196557,-1.3373682996702227,5,11,-46113.00000000087,876,912,36
-26019.90000000126,-29016.150000000693,1084,-0.8456760086137148,0.4073465268337146,-1.1903256847565855,6,11,-43067.40000000119,876,913,37
-22739.849999999613,-25340.549999999323,1082,-0.747587150112491,0.5105542275539221,-1.1314464735683698,6,11,-39763.7999999997,876,914,38
-10417.200000000856,-22677.749999999993,1128,-0.32379763033434855,0.687470852764878,-0.731654841499614,6,11,-28072.650000000955,876,915,39
-16324.20000000022,-21427.649999999867,1166,-0.4974257748679437,0.8120941604649082,-0.992609807642426,5,11,-35917.200000000244,876,916,40
-21958.650000000227,-31580.249999999556,1141,-0.6669669248995065,0.7982610934818168,-1.1560481323093783,5,11,-44304.60000000021,876,917,41
-20783.099999999977,-27624.899999999692,1149,-0.6228440479224432,0.5323702209419792,-0.9930992255246661,5,11,-44279.55000000016,876,918,42
-13936.050000000465,-22756.949999999764,1144,-0.4165610767193227,0.43723701787201524,-0.7006687892796577,6,11,-37771.500000000466,876,919,43
-31367.550000000556,-33110.99999999944,1105,-0.9520433771288513,0.602464023339743,-1.4147320419168077,5,11,-54018.0000000007,876,920,44
-42938.10000000086,-23842.800000000345,855,-2.2503180151986704,-0.27257624675552644,-2.4177849748730873,2,11,-53295.15000000081,877,896,19
