n,win,pf,tot,a,b,e3,e4,wy,worst,dd,y10,n10,pf10,win10,worst10,dd10,wy10,hold,tp,stop,rsith,kind,lab,beat4,beat4dd,rank26,rank10
1241,47.300564061240934,1.1051866654745686,136.00298215723032,2.7293965065323516,133.27358565069798,46.339690008456,77.076536703916,17,-26.640483199390047,-81.50715204143829,123.41622671237201,595,1.2174630203151597,50.588235294117645,-10.073466625554,-22.485533340100012,9,2,3.0,2.0,50.0,grid,H2 TP3.0 ST2.0 RSI50 grid,False,False,279.0,462.0
1237,47.21099434114794,1.1094953964910093,141.0714754680304,12.216129817332362,128.855345650698,46.331690008456,72.66629670391602,18,-26.640483199390047,-78.02857707223231,118.99798671237203,593,1.2095936601659802,50.252951096121414,-9.041466625553992,-25.981346636883995,9,2,3.0,2.0,,grid,H2 TP3.0 ST2.0 RSI∞ grid,False,False,265.0,468.0
1191,49.1183879093199,1.064629187326904,84.60028227725581,-51.34490834718852,135.9451906244443,54.94610996368404,96.60610000794001,16,-37.05221213169587,-106.23878345637628,151.55220997162405,572,1.276208278295279,52.7972027972028,-11.670949982880016,-28.780499959680032,9,2,3.0,3.0,50.0,grid,H2 TP3.0 ST3.0 RSI50 grid,False,False,366.0,387.0
1188,48.98989898989899,1.0675856940287236,88.32215558805581,-40.37417503638852,128.69633062444433,54.93810996368404,89.36524000794002,16,-31.161812131695864,-98.82761399954995,144.30334997162407,571,1.2610422029473431,52.364273204903675,-11.670949982880016,-28.780499959680032,9,2,3.0,3.0,,grid,H2 TP3.0 ST3.0 RSI∞ grid,False,False,361.0,408.0
1182,49.323181049069376,1.0637150433294664,83.50345971462797,-34.747829288023475,118.25128900265142,43.94506666749108,93.19629002138011,13,-30.688374368655055,-98.25077941117631,137.1413566888712,567,1.248021529483282,52.733686067019406,-19.66244996943999,-33.67459994624001,8,2,3.0,4.0,50.0,grid,H2 TP3.0 ST4.0 RSI50 grid,False,False,369.0,430.0
1179,49.194232400339274,1.0680729006063894,88.94819302542798,-22.293095977223462,111.24128900265144,43.9370666674911,86.19429002138011,14,-30.688374368655055,-86.65854103565411,130.13135668887122,566,1.2337081655904898,52.29681978798587,-19.66244996943999,-33.67459994624001,8,2,3.0,4.0,,grid,H2 TP3.0 ST4.0 RSI∞ grid,False,False,359.0,453.0
1179,49.44868532654792,1.0568333632117008,74.49733313707814,-37.21916260601336,111.71649574309147,34.15226670949107,102.74349667952009,14,-34.17997436865504,-99.7171127587762,136.8957633890112,567,1.2490812702569523,52.910052910052904,-16.80978331129997,-30.74059995199998,8,2,3.0,6.0,50.0,grid,H2 TP3.0 ST6.0 RSI50 grid,False,False,382.0,431.0
1176,49.31972789115646,1.0622622749696748,81.28606644787814,-23.420429295213363,104.70649574309148,34.14426670949109,95.74149667952011,15,-34.17997436865504,-89.32194103565408,129.8857633890112,566,1.2346741584244836,52.473498233215544,-16.80978331129997,-30.74059995199998,8,2,3.0,6.0,,grid,H2 TP3.0 ST6.0 RSI∞ grid,False,False,374.0,454.0
1178,49.49066213921902,1.0632380037983122,82.3932331647482,-31.296162603843346,113.68939576859148,25.35226670949108,116.06639667952014,13,-34.17997436865504,-99.7171127587762,141.41866338901124,566,1.259445750188046,53.003533568904594,-14.088183311299964,-35.76449998418,7,2,3.0,,50.0,grid,H2 TP3.0 ST∞ RSI50 grid,False,False,371.0,418.0
1175,49.361702127659576,1.0687259104588474,89.18196647554818,-17.49742929304334,106.67939576859153,25.34426670949109,109.06439667952014,14,-34.17997436865504,-94.78168403691268,134.40866338901125,565,1.2448468677339366,52.56637168141592,-14.088183311299964,-38.91916663917998,7,2,3.0,,,grid,H2 TP3.0 ST∞ RSI∞ grid,False,False,358.0,437.0
