A 現行×1固定                               E[log]+5.09 5年中央  850.4万 下位10% 31.0 停止  0% DD中央 -54%/悪10% -61% | 1年中央 10.8 下位10% 6.7 停止  0% DD -30% | k到達1.00
B ≥10万で×1.25                           E[log]+5.71 5年中央 1415.5万 下位10% 32.9 停止  0% DD中央 -63%/悪10% -72% | 1年中央  8.9 下位10% 6.7 停止  0% DD -31% | k到達1.25
C ≥10万×1.25 ≥30万×1.5                   E[log]+6.01 5年中央 1885.7万 下位10% 30.1 停止  0% DD中央 -74%/悪10% -81% | 1年中央  8.9 下位10% 6.7 停止  0% DD -31% | k到達1.50
D ≥10万×1.25 ≥30万×1.5 ≥100万×2           E[log]+4.79 5年中央  417.7万 下位10% 27.6 停止  0% DD中央 -84%/悪10% -99% | 1年中央  8.9 下位10% 6.7 停止  0% DD -31% | k到達2.00
E ≥15万×1.25 ≥50万×1.5                   E[log]+5.87 5年中央 1657.6万 下位10% 29.8 停止  0% DD中央 -74%/悪10% -81% | 1年中央  9.4 下位10% 6.7 停止  0% DD -30% | k到達1.50
F ≥20万×1.25 ≥50万×1.5 ≥150万×2           E[log]+4.46 5年中央  295.3万 下位10% 25.2 停止  0% DD中央 -84%/悪10% -99% | 1年中央 10.8 下位10% 6.7 停止  0% DD -30% | k到達2.00
G 今すぐ×1.25 ≥30万×1.5                    E[log]+6.22 5年中央 2344.3万 下位10% 34.5 停止  0% DD中央 -75%/悪10% -81% | 1年中央 10.3 下位10% 6.3 停止  0% DD -40% | k到達1.50
H ≥10万×1.25 ≥30万×1.5 ≥100万×2 ≥300万×3   E[log]-2.32 5年中央   24.8万 下位10%  0.0 停止 42% DD中央 -97%/悪10%-100% | 1年中央  7.7 下位10% 0.0 停止 14% DD -31% | k到達3.00

== 残高12万スタート(入金後) ==
A 現行×1固定                               E[log]+5.16 5年中央 1882.6万 下位10% 64.7 停止  0% DD中央 -54%/悪10% -63% | 1年中央 22.0 下位10%13.0 停止  0% DD -33% | k到達1.00
B ≥10万で×1.25                           E[log]+5.91 5年中央 3879.5万 下位10% 81.5 停止  0% DD中央 -65%/悪10% -73% | 1年中央 22.3 下位10%11.7 停止  0% DD -39% | k到達1.25
C ≥10万×1.25 ≥30万×1.5                   E[log]+6.28 5年中央 5521.0万 下位10% 78.8 停止  0% DD中央 -75%/悪10% -81% | 1年中央 20.5 下位10%11.7 停止  0% DD -39% | k到達1.50
D ≥10万×1.25 ≥30万×1.5 ≥100万×2           E[log]+5.06 5年中央 1050.5万 下位10% 55.1 停止  0% DD中央 -90%/悪10%-100% | 1年中央 20.5 下位10%11.7 停止  0% DD -39% | k到達2.00
