A,B,W,zin,H,n,mean,t,first,second,wy,ny,sum
US500Cash,US100Cash,24,1.5,6,3493,-0.019799046513659675,-4.126192730556215,-0.01874684471827605,-0.02066608277116117,3,11,-69.15806947221324
US500Cash,US100Cash,24,1.5,24,2493,-0.02639744241797447,-3.112010352981535,-0.023632760798871957,-0.02861999037660174,2,11,-65.80882394801036
US500Cash,US100Cash,24,1.5,72,2137,-0.03068593542601632,-2.875203556115402,-0.03385361177809598,-0.02816031962974086,3,11,-65.57584400539687
US500Cash,US100Cash,24,2.0,6,2534,-0.011678373153125915,-2.08960045300475,-0.008089563113170673,-0.014543817649186696,3,11,-29.59299757002107
US500Cash,US100Cash,24,2.0,24,2027,-0.02393439610644651,-2.546954605950552,-0.016341146840395632,-0.02994991453472378,1,11,-48.51502090776708
US500Cash,US100Cash,24,2.0,72,1776,-0.026732961323271742,-2.2678355772852026,-0.029843999046660477,-0.02431879604992209,2,11,-47.477739310130616
US500Cash,US100Cash,24,2.5,6,1684,-0.008480945870273354,-1.288405368855855,-0.007545522227664076,-0.009255895098623922,4,11,-14.281912845540326
US500Cash,US100Cash,24,2.5,24,1478,-0.015471362414244287,-1.3822180044723194,-0.01311569180586356,-0.017382457932317866,2,11,-22.866673648253055
US500Cash,US100Cash,24,2.5,72,1348,-0.023502764122423598,-1.7039790586054266,-0.04286924506302754,-0.008337477459940082,4,11,-31.68172603702701
US500Cash,US100Cash,72,1.5,6,2156,-0.021543580950431705,-3.4804645887525405,-0.022496236670654434,-0.020749701183579432,2,11,-46.447960529130754
US500Cash,US100Cash,72,1.5,24,1410,-0.04682809208476963,-3.495402738254365,-0.0459139970424955,-0.04754962395823984,2,11,-66.02760983952518
US500Cash,US100Cash,72,1.5,72,1017,-0.04575967493137831,-2.185785601841212,-0.06249784859627478,-0.03252826652374007,1,11,-46.53758940521174
US500Cash,US100Cash,72,2.0,6,1448,-0.009555509072886532,-1.256081734656726,-0.005771570239159514,-0.01258642525313554,4,11,-13.836377137539698
US500Cash,US100Cash,72,2.0,24,987,-0.035984136167960395,-2.1338561281234045,-0.0548070694817209,-0.02127234893897429,2,11,-35.51634239777691
US500Cash,US100Cash,72,2.0,72,787,-0.03361780310707888,-1.3478152030891426,-0.07068963028429061,-0.0034649114168582885,2,11,-26.45721104527108
US500Cash,US100Cash,72,2.5,6,782,-0.009649708704419049,-1.012806059144517,-0.011540437342685318,-0.008125772688818759,6,11,-7.546072206855696
US500Cash,US100Cash,72,2.5,24,639,-0.03604131154065778,-1.7462196342137195,-0.026008521914936134,-0.04416986064251723,4,11,-23.03039807448032
US500Cash,US100Cash,72,2.5,72,565,-0.03675538226930522,-1.257252577151817,-0.05495547054666577,-0.021784341912121537,3,11,-20.76679098215745
US500Cash,US100Cash,168,1.5,6,1379,-0.012882255357290819,-1.7341181872667981,-0.0027419266293355,-0.02123863736458733,4,11,-17.76463013770404
US500Cash,US100Cash,168,1.5,24,942,-0.03783425884794003,-2.204094937700661,0.001477591601511321,-0.0700122985980701,4,11,-35.63987183475951
US500Cash,US100Cash,168,1.5,72,628,-0.06351654544415225,-2.0978478898449753,-0.046434754027747334,-0.07743869914191577,3,11,-39.88839053892761
US500Cash,US100Cash,168,2.0,6,978,-0.020583070168205243,-2.253377820434222,-0.021095475117210123,-0.020155264910593294,2,11,-20.130242624504728
US500Cash,US100Cash,168,2.0,24,674,-0.0510232813892882,-2.462189018382743,-0.045020032642861335,-0.056045072574991334,3,11,-34.38969165638025
US500Cash,US100Cash,168,2.0,72,459,-0.06545220755148407,-1.8146264626758977,-0.060396658826526034,-0.0695685831931495,4,11,-30.042563266131186
US500Cash,US100Cash,168,2.5,6,489,-0.006346831651710211,-0.46814534184789364,-0.013901816373087005,-0.0006602840119642476,3,11,-3.103600677686293
US500Cash,US100Cash,168,2.5,24,359,-0.00231062133695971,-0.07965086360561408,-0.02614206086845287,0.016422550036054813,7,11,-0.8295130599685359
US500Cash,US100Cash,168,2.5,72,277,-0.01936034328905298,-0.38545178824608084,-0.08845664196522948,0.03914118959010979,6,11,-5.3628150910676755
US500Cash,US100Cash,336,1.5,6,1002,-0.009717275841631344,-1.0831009415825144,-0.002985342689543918,-0.015570038619378992,4,11,-9.736710393314606
US500Cash,US100Cash,336,1.5,24,688,-0.03628211087336849,-1.7408047688616952,-0.027776314592334102,-0.04338161550260519,3,11,-24.96209228087752
US500Cash,US100Cash,336,1.5,72,450,-0.031033404583264413,-0.788887696543887,-0.08291497871519886,0.011606107759985355,7,11,-13.965032062468985
US500Cash,US100Cash,336,2.0,6,667,-0.0028159351983538944,-0.22988287924676992,-0.02393459729610211,0.01455214483285434,4,11,-1.8782287773020476
US500Cash,US100Cash,336,2.0,24,454,-0.026370869228821675,-0.9963045107771075,-0.06391998627031012,0.005945993798688874,4,11,-11.97237462988504
US500Cash,US100Cash,336,2.0,72,302,-0.05205458611890033,-0.9803456348441392,-0.126304869951003,0.010424311252015329,4,11,-15.720485007907898
US500Cash,US100Cash,336,2.5,6,318,-0.0033263386880421626,-0.2016127688274023,-0.020938882920313127,0.010004703078925363,7,11,-1.0577757027974077
US500Cash,US100Cash,336,2.5,24,232,-0.050419330022352556,-1.1820408663733146,-0.07733202692455315,-0.03038657067409797,4,11,-11.697284565185793
US500Cash,US100Cash,336,2.5,72,171,-0.11543374660877456,-1.6297932937285011,-0.15204611176687044,-0.08683033632901216,4,11,-19.73917067010045
US500Cash,US30Cash,24,1.5,6,3449,-0.015973639267885965,-4.736373383649593,-0.020091388507454642,-0.012512884170596384,1,11,-55.09308183493869
US500Cash,US30Cash,24,1.5,24,2500,-0.01713324822119778,-2.9001831113520526,-0.0246723907963756,-0.010823855573785918,2,11,-42.833120552994444
US500Cash,US30Cash,24,1.5,72,2154,-0.017098785706508156,-2.396741118867254,-0.027596478727172708,-0.008187010258064172,2,11,-36.83078441181857
