A,B,W,zin,H,n,mean,t,first,second,sum
US500Cash,US100Cash,24,1.5,6,3493,-0.023349694657898278,-4.856351441740242,-0.02446142322896164,-0.022433607093857548,-81.56048344003868
US500Cash,US100Cash,24,1.5,24,2493,-0.024498759682806574,-2.8757379985824163,-0.027417737014354564,-0.02215217226214824,-61.075407889236786
US500Cash,US100Cash,24,1.5,72,2137,-0.02459754555180958,-2.2880801104096555,-0.02175353133031725,-0.02686510272756628,-52.56495484421707
US500Cash,US100Cash,24,2.0,6,2534,-0.03238780241582961,-5.779736978842988,-0.03597151290856163,-0.02952642959515996,-82.07069132171222
US500Cash,US100Cash,24,2.0,24,2027,-0.02753912166250504,-2.9153590912618537,-0.035134758627955516,-0.02152171165274056,-55.82179960989772
US500Cash,US100Cash,24,2.0,72,1776,-0.02953078644555012,-2.4853003931897613,-0.02686426836360766,-0.03160000447713746,-52.44667672729702
US500Cash,US100Cash,24,2.5,6,1684,-0.036320179682003385,-5.502192419978621,-0.03739642027680979,-0.035428571024199614,-61.163182584493704
US500Cash,US100Cash,24,2.5,24,1478,-0.0367003197373727,-3.2603290519427954,-0.03918097757026274,-0.034687825270003574,-54.243072571836855
US500Cash,US100Cash,24,2.5,72,1348,-0.0338665369940429,-2.4352549627311304,-0.01527903621190317,-0.04842182861180311,-45.65209186796983
US500Cash,US100Cash,72,1.5,6,2156,-0.021934524097938245,-3.534941342965557,-0.021056727960402883,-0.02266602087921771,-47.29083395515485
US500Cash,US100Cash,72,1.5,24,1410,-0.007614617409549216,-0.5662511104251231,-0.008693789301416455,-0.0067627837588621325,-10.736610547464394
US500Cash,US100Cash,72,1.5,72,1017,-0.02461542487774911,-1.1591105755072044,-0.008669881210462603,-0.037220264854178065,-25.033887100670846
US500Cash,US100Cash,72,2.0,6,1448,-0.03401617649163612,-4.459576223627074,-0.03776022654417504,-0.031017211026667154,-49.25542355988911
US500Cash,US100Cash,72,2.0,24,987,-0.018909574700385193,-1.118092896962961,-0.00025462183593627096,-0.033490070350757725,-18.663750229280186
US500Cash,US100Cash,72,2.0,72,787,-0.03938195797767333,-1.5573388738678051,-0.002464454305014295,-0.0694093284764029,-30.99360092842891
US500Cash,US100Cash,72,2.5,6,782,-0.03467208537622632,-3.630770349725851,-0.0329554976586059,-0.03605566300544001,-27.113570764208983
US500Cash,US100Cash,72,2.5,24,639,-0.0194745950168003,-0.9415245909434431,-0.029836524900082047,-0.01107937703771085,-12.444266215735393
US500Cash,US100Cash,72,2.5,72,565,-0.038594189866434196,-1.301209461729413,-0.02050003290814024,-0.053478093170837286,-21.805717274535322
US500Cash,US100Cash,168,1.5,6,1379,-0.030526591610012314,-4.096468053715809,-0.040452730556841454,-0.022346717848273488,-42.09616983020698
US500Cash,US100Cash,168,1.5,24,942,-0.017847818443799745,-1.0370033211112495,-0.0568461944030604,0.014073632148336394,-16.81264497405936
US500Cash,US100Cash,168,1.5,72,628,-0.01838911617705268,-0.5979229068289618,-0.035004001322978796,-0.004847504584130256,-11.548364959189083
US500Cash,US100Cash,168,2.0,6,978,-0.022890803754377746,-2.4994572088005684,-0.022264075756163116,-0.0234140569611423,-22.387206071781435
US500Cash,US100Cash,168,2.0,24,674,-0.005319567550437509,-0.256010142676106,-0.011131228060004742,-0.0004580422740420198,-3.585388528994881
US500Cash,US100Cash,168,2.0,72,459,-0.019858633593953748,-0.5419392374218267,-0.025205781147268482,-0.015504829657262709,-9.11511281962477
