  ①  ②  執行  年平均万  60日で15万割れ%  60日でゼロ%  60日後の中央値万  120日で15万割れ%  120日でゼロ%  120日後の中央値万
100  0  寄成 155.7        32.8     14.8       75.2         32.1      15.3       156.8
100  0 +0% 158.8        25.9      9.7       75.6         23.4       9.0       155.1
100  0 +1% 152.5        27.3     12.8       75.1         26.6      12.5       152.1
100 50  寄成 164.7        29.6     13.3       82.6         28.3      12.7       167.4
100 50 +0% 167.5        25.4      8.0       81.1         23.2       6.9       165.5
100 50 +1% 162.0        26.8      9.5       79.1         25.7       8.7       164.3
 70  0  寄成 105.5        21.6      5.1       50.0         21.7       5.4       104.1
 70  0 +0% 107.4        15.7      2.4       50.9         14.9       1.8       103.5
 70  0 +1% 102.9        18.7      3.2       50.2         19.3       2.6       100.4
 50  0  寄成  72.0         9.5      0.0       34.9          9.9       0.0        73.1
 50  0 +0%  73.4         5.2      0.0       36.2          4.8       0.0        72.0
 50  0 +1%  70.6         7.5      0.0       36.1          7.2       0.0        70.4
 50 50  寄成  81.1         8.1      0.0       41.1          8.4       0.0        81.3
 50 50 +0%  82.1         3.8      0.0       40.8          3.1       0.0        81.9
 50 50 +1%  80.1         2.6      0.0       40.7          2.0       0.0        81.6
 30  0  寄成  37.9         0.0      0.0       19.0          0.0       0.0        39.8
 30  0 +0%  39.1         0.0      0.0       19.0          0.0       0.0        38.2
 30  0 +1%  37.7         0.0      0.0       18.9          0.0       0.0        37.2
