
■ 開始日=2017年以降の全営業日・余力40万スタート・①だけ(+1%指値)
    方式       期間  終わりの余力_中央値  悪い1割  良い1割  最悪  増えてる率  十五万割れ率  ゼロ率  五五万到達率  到達日数中央値
   ラダー  60日≈3か月          95    39   164  17     89     3.4  0.0      90     17.0
   ラダー 120日≈6か月         168    71   263  30     99     3.2  0.0     100     19.0
   ラダー  245日≈1年         311   247   485 189    100     3.6  0.0     100     19.0
 ①60固定  60日≈3か月          82    46   121  16     95     7.1  0.0      93     17.0
 ①60固定 120日≈6か月         124    77   179  42    100     6.4  0.0     100     19.0
 ①60固定  245日≈1年         210   173   304 149    100     7.2  0.0     100     19.0
①100固定  60日≈3か月         115    52   182  -5     95    21.9  8.5      97      9.0
①100固定 120日≈6か月         192   106   284  50    100    21.4  8.0     100      9.0
①100固定  245日≈1年         341   273   506 231    100    22.8  9.0     100     10.0
 ①50固定  60日≈3か月          76    45   107  18     93     1.9  0.0      89     21.0
 ①50固定 120日≈6か月         110    65   159  47    100     1.6  0.0     100     23.0
 ①50固定  245日≈1年         180   144   263 117    100     1.8  0.0     100     23.0

■ 開始日=2022年以降の全営業日・余力40万スタート・①だけ(+1%指値)
    方式       期間  終わりの余力_中央値  悪い1割  良い1割  最悪  増えてる率  十五万割れ率  ゼロ率  五五万到達率  到達日数中央値
   ラダー  60日≈3か月          95    43   188  28     94     1.6  0.0      92     16.0
   ラダー 120日≈6か月         184    91   284  34    100     0.2  0.0     100     17.0
   ラダー  245日≈1年         382   309   509 273    100     0.3  0.0     100     18.0
 ①60固定  60日≈3か月          82    47   134  26     97     4.2  0.0      94     16.0
 ①60固定 120日≈6か月         131    80   190  42    100     2.2  0.0     100     17.0
 ①60固定  245日≈1年         235   206   316 171    100     2.7  0.0     100     18.0
①100固定  60日≈3か月         114    60   207  28    100    21.1  6.0      99      9.0
①100固定 120日≈6か月         204   120   302  65    100    16.5  4.3     100      9.0
①100固定  245日≈1年         397   342   531 285    100    18.4  5.5     100     10.0
 ①50固定  60日≈3か月          77    48   120  30     99     0.9  0.0      89     19.0
 ①50固定 120日≈6か月         118    77   168  48    100     0.0  0.0     100     20.0
 ①50固定  245日≈1年         206   184   275 154    100     0.0  0.0     100     21.0
