金 日足トレンド (単位 $/oz/年・pct_yr=平均価格比%/年・dd=$/oz)
             sig   side  gross_yr  net_yr  yrs_pos  yrs      h1      h2       dd  sharpe  pct_yr
     MA20/100クロス     両方    281.53   68.78        3   11 -139.69  251.64 -1298.18    0.14    3.43
     MA20/100クロス  ロングのみ    289.31   61.39        4   11 -123.47  223.56 -1221.19    0.14    3.06
      ドンチャン55/20  ロングのみ    201.27   56.36        4   11  -93.35  187.68  -849.60    0.14    2.81
        モメンタム60日  ロングのみ    280.30   54.40        3   11  -93.35  183.99 -1073.36    0.13    2.71
        モメンタム60日     両方    260.68   51.00        4   11  -83.68  169.14 -1145.23    0.10    2.54
     ドンチャン100/50  ロングのみ    245.07   49.38        3   11 -151.21  225.34 -1275.15    0.12    2.46
     ドンチャン100/50     両方    225.64   38.20        3   11 -166.56  217.81 -1315.94    0.09    1.90
      MA10/50クロス  ロングのみ    228.32   25.45        3   11 -123.69  156.28 -1286.27    0.06    1.27
      ドンチャン55/20     両方    159.81   25.22        4   11 -150.98  179.77 -1278.36    0.06    1.26
       モメンタム250日  ロングのみ    253.59   15.53        4   11  -78.69   98.18 -1604.30    0.03    0.77
     MA20/100クロス ショートのみ     -7.78    7.11        4   11  -16.49   27.81  -677.48    0.03    0.35
       モメンタム120日  ロングのみ    248.30   -1.27        2   11 -154.96  133.55 -1587.69   -0.00   -0.06
        モメンタム60日 ショートのみ    -19.63   -4.65        4   11    8.49  -16.17  -556.64   -0.02   -0.23
     MA50/200クロス  ロングのみ    231.84   -8.64        3   11 -105.52   76.34 -1559.56   -0.02   -0.43
     ドンチャン100/50 ショートのみ    -19.43  -11.18        3   11  -15.35   -7.52  -436.58   -0.06   -0.56
200日MA上ロング/下ショート  ロングのみ    218.59  -16.25        2   11 -114.42   69.86 -1531.29   -0.04   -0.81
      MA10/50クロス     両方    159.44  -24.01        2   11 -162.59   97.54 -1710.91   -0.05   -1.20
       モメンタム250日     両方    199.36  -27.38        4   11 -102.94   38.89 -1921.40   -0.06   -1.37
      ドンチャン55/20 ショートのみ    -41.46  -31.14        2   11  -57.63   -7.91  -961.49   -0.14   -1.55
       モメンタム120日 ショートのみ    -45.20  -33.95        3   11  -19.90  -46.28  -677.48   -0.16   -1.69
       モメンタム120日     両方    203.10  -34.51        2   11 -174.27   88.09 -1851.41   -0.07   -1.72
       モメンタム250日 ショートのみ    -54.22  -43.72        0   11  -25.17  -59.99  -487.05   -0.46   -2.18
      MA10/50クロス ショートのみ    -68.88  -50.08        4   11  -39.49  -59.36 -1129.23   -0.20   -2.50
     MA50/200クロス ショートのみ    -64.82  -53.21        4   11    2.43 -102.02 -1011.67   -0.29   -2.65
      ドンチャン20/10 ショートのみ    -71.15  -58.86        3   11  -88.54  -32.82 -1105.73   -0.26   -2.93
     MA50/200クロス     両方    167.02  -61.71        3   11 -103.00  -25.48 -2159.01   -0.13   -3.08
      ドンチャン20/10  ロングのみ     76.43  -64.36        1   11  -66.75  -62.27 -1254.40   -0.19   -3.21
200日MA上ロング/下ショート ショートのみ    -78.07  -66.34        2   11  -18.10 -108.65  -879.01   -0.33   -3.31
200日MA上ロング/下ショート     両方    140.52  -81.72        3   11 -132.07  -37.56 -2074.28   -0.17   -4.07
      ドンチャン20/10     両方      5.28 -123.22        1   11 -155.29  -95.09 -2184.70   -0.30   -6.14

参考: 買い持ち gross 314$/oz/年・スワップ込み -111$/oz/年
