sig,h,sess,n,gross,net,t,pf,yrs_pos,yrs,h1,h2,net_yr
z3>2 逆張り,1,全,228704,0.024197714075835767,-0.23580228592416413,-87.5223701368767,0.45226837166097295,0,11,-0.24298814085370554,-0.22976790655769364,-5040.0865420560785
z3>2 逆張り,1,Asia,86842,0.011411874438636019,-0.24858812556136392,-66.23737781105731,0.3662360692250598,0,11,-0.2511388511985525,-0.24664164044259412,-2017.5598130841092
z3>2 逆張り,1,London,66294,0.026784837240172568,-0.23321516275982737,-53.200198074626826,0.4336334646400931,0,11,-0.2365972359960334,-0.23019760239760204,-1444.9314018691587
z3>2 逆張り,1,NY,75568,0.03662145352530058,-0.2233785464746994,-38.83166156877075,0.5449757950133634,0,11,-0.23998956282000863,-0.2086252810953989,-1577.5953271028118
z3>2 逆張り,3,全,135359,0.041948300445481645,-0.21805169955451828,-39.218739803523604,0.6205838499155796,0,11,-0.22883329244557846,-0.2091692626926813,-2758.4355140186954
z3>2 逆張り,3,Asia,50641,0.021156335775360243,-0.2388436642246397,-30.962926017091362,0.5318897555058566,0,11,-0.24033452725352358,-0.23771885393569825,-1130.400186915886
z3>2 逆張り,3,London,39973,0.05133940409776548,-0.20866059590223449,-23.42191829368302,0.6149416022378174,0,11,-0.2182878290359052,-0.20030178538044524,-779.5130841121513
z3>2 逆張り,3,NY,44745,0.057090445859871525,-0.2029095541401284,-16.949352242156806,0.7002739569376631,0,11,-0.22620886045504887,-0.1826904324595105,-848.5222429906585
z3>2 逆張り,5,全,116349,0.04775386982268804,-0.21224613017731186,-29.71593336736713,0.6828260401630396,0,11,-0.22097892782020465,-0.20499773506558938,-2307.9088785046783
z3>2 逆張り,5,Asia,42978,0.019470799013448913,-0.240529200986551,-23.258533910935082,0.5938362536166388,0,11,-0.24216530480593476,-0.23928064489661924,-966.1181308411205
z3>2 逆張り,5,London,34579,0.051798085543248114,-0.20820191445675182,-17.98251738329251,0.6726298953430804,0,11,-0.20533464150003114,-0.21068644067796718,-672.842429906544
z3>2 逆張り,5,NY,38792,0.07548393998762495,-0.18451606001237497,-12.409050760691985,0.7646651847742776,1,11,-0.21308693972179402,-0.15948268523892575,-668.948317757014
z3>2 逆張り,15,全,77067,0.04488699443341484,-0.21511300556658502,-15.940705814876916,0.7809756938595533,0,11,-0.20742337727768922,-0.22175856313497844,-1549.3564485981317
z3>2 逆張り,15,Asia,27272,0.005707392197125875,-0.254292607802874,-12.354658142112047,0.7080471806285339,0,11,-0.23139283040838368,-0.27234782608695546,-648.1371962616804
z3>2 逆張り,15,London,23276,0.04808863206736502,-0.21191136793263488,-9.972021804088739,0.7750109964084855,0,11,-0.18909509821920378,-0.23198570505572635,-460.9765420560757
z3>2 逆張り,15,NY,26519,0.08236898073079589,-0.177631019269204,-6.521345115863413,0.8430513128509819,1,11,-0.2005134270101483,-0.15624917937121754,-440.2427102803758
z3>2 逆張り,30,全,54732,0.055709219469414026,-0.20429078053058583,-9.733966603458358,0.8394332532034455,0,11,-0.20312679360362865,-0.20531191905333615,-1044.9759813084136
z3>2 逆張り,30,Asia,18749,0.007616459544509389,-0.2523835404554905,-7.705779765829935,0.7797151333604181,0,11,-0.23554098163926482,-0.2658579109062978,-442.2372897196254
z3>2 逆張り,30,London,16412,0.062087131367292596,-0.19791286863270727,-5.898627794763314,0.8399823397313876,1,11,-0.20290566283924782,-0.19353875171467724,-303.5650467289712
z3>2 逆張り,30,NY,19571,0.09643360073578028,-0.16356639926421962,-4.0041837791349115,0.8850837158451885,2,11,-0.17510876826722557,-0.15249884896406976,-299.17364485981705
z3>2 逆張り,60,全,36521,0.03667268147093377,-0.22332731852906612,-6.281109930936795,0.868716459357191,0,11,-0.19622588508415612,-0.2475333056865903,-762.2557943925256
