セル数 660  net>0: 11  net>0かつ前後半とも>0かつ勝ち年≥8/11: 0
      sig  h   sess    n  gross    net      t    pf  yrs_pos  yrs     h1     h2  net_yr
z30>4 逆張り 30   Asia  532  0.730  0.470  1.432 1.326        5   11  0.229  0.635  23.371
z30>4 逆張り 60   Asia  507  0.636  0.376  1.069 1.199        6   11  0.115  0.556  17.808
z15>4 逆張り 15 London  795  0.433  0.173  0.901 1.138        4   11 -0.024  0.372  12.848
z15>4 順張り 60     NY  892  0.504  0.244  0.669 1.091        6   11 -0.120  0.543  20.340
z30>4 逆張り 30      全 1228  0.408  0.148  0.548 1.076        5   11  0.042  0.229  17.024
z30>4 逆張り 60      全 1186  0.424  0.164  0.528 1.066        6   11  0.075  0.232  18.196
z30>4 逆張り  5 London  548  0.328  0.068  0.382 1.072        4   11 -0.106  0.205   3.487
z15>4 逆張り 60 London  742  0.362  0.102  0.326 1.047        5   11 -0.266  0.479   7.039
 z5>4 順張り 60     NY 2168  0.331  0.071  0.277 1.029        3   11 -0.184  0.333  14.356
z15>4 逆張り 30 London  764  0.279  0.019  0.088 1.011        4   11 -0.116  0.159   1.328
z15>4 順張り 30     NY  942  0.287  0.027  0.077 1.012        3   11 -0.219  0.233   2.396
z30>4 逆張り 15      全 1466  0.259 -0.001 -0.005 0.999        4   11 -0.053  0.038  -0.125
z30>4 逆張り 15   Asia  629  0.247 -0.013 -0.062 0.990        3   11 -0.020 -0.008  -0.755
z15>4 逆張り  5 London 1155  0.226 -0.034 -0.314 0.964        2   11 -0.165  0.102  -3.631
z15>4 順張り 15     NY  997  0.157 -0.103 -0.367 0.946        4   11 -0.377  0.125  -9.552
z30>2 逆張り 60     NY 5492  0.195 -0.065 -0.467 0.970        1   11 -0.166  0.025 -33.497
z15>4 逆張り 30   Asia 1318  0.178 -0.082 -0.475 0.945        3   11 -0.092 -0.074 -10.059
z30>4 逆張り  5   Asia 1051  0.201 -0.059 -0.489 0.937        5   11 -0.170  0.012  -5.766
z30>3 逆張り 60     NY 1473  0.064 -0.196 -0.662 0.931        3   11 -0.123 -0.254 -26.970
 z3>4 順張り 60     NY 3056  0.117 -0.143 -0.721 0.941        2   11 -0.288  0.017 -40.803
z30>4 逆張り  3     NY 1176  0.090 -0.170 -0.750 0.860        1   11 -0.132 -0.198 -18.662
z30>4 逆張り  3 London  735  0.172 -0.088 -0.768 0.891        3   11 -0.152 -0.038  -6.059
z30>3 順張り 60 London 1353  0.104 -0.156 -0.786 0.926        2   11 -0.240 -0.077 -19.717
z15>3 順張り 60     NY 2623  0.103 -0.157 -0.786 0.940        4   11 -0.200 -0.119 -38.431
z30>3 逆張り 30     NY 1635  0.059 -0.201 -0.842 0.909        2   11 -0.269 -0.146 -30.671

--- グロスの大きい順(コスト前の構造) ---
      sig  h   sess    n  gross   net     t    pf  yrs_pos  yrs     h1    h2  net_yr
z30>4 逆張り 30   Asia  532  0.730 0.470 1.432 1.326        5   11  0.229 0.635  23.371
z30>4 逆張り 60   Asia  507  0.636 0.376 1.069 1.199        6   11  0.115 0.556  17.808
z15>4 順張り 60     NY  892  0.504 0.244 0.669 1.091        6   11 -0.120 0.543  20.340
z15>4 逆張り 15 London  795  0.433 0.173 0.901 1.138        4   11 -0.024 0.372  12.848
z30>4 逆張り 60      全 1186  0.424 0.164 0.528 1.066        6   11  0.075 0.232  18.196
z30>4 逆張り 30      全 1228  0.408 0.148 0.548 1.076        5   11  0.042 0.229  17.024
z15>4 逆張り 60 London  742  0.362 0.102 0.326 1.047        5   11 -0.266 0.479   7.039
 z5>4 順張り 60     NY 2168  0.331 0.071 0.277 1.029        3   11 -0.184 0.333  14.356
z30>4 逆張り  5 London  548  0.328 0.068 0.382 1.072        4   11 -0.106 0.205   3.487
z15>4 順張り 30     NY  942  0.287 0.027 0.077 1.012        3   11 -0.219 0.233   2.396
