      rule_万  銘柄中央値_年騰落%
2002    -2.0       -11.6
2003   -35.0        32.0
2004   -11.0        23.2
2005    12.0        50.8
2006   -48.0       -17.9
2007   -18.0       -20.6
2008    14.0       -41.3
2009   -51.0         6.3
2010   -20.0         2.1
2011   -24.0        -8.6
2012    -1.0        13.3
2013    81.0        39.1
2014    -4.0         8.9
2015    10.0         4.2
2016    -4.0         0.2
2017    19.0        25.3
2018    20.0       -23.6
2019    16.0        12.7
2020   -53.0        -9.3
2021     7.0         1.3
2022    25.0        -4.4
2023    18.0        12.6
2024   102.0         1.8
2025   101.0        13.8
2026    12.0         3.1
相関 0.23
