セル数 29678  銘柄数 31

== prev≤0 で t>3 かつ前後半ともt>1.5: 57セル ==
      sym  h  k side    flt    n  mean     t   t1   t2   yrs    tot
  XAUEUR.  5  2    売 prev≤0  750  0.06 10.75 9.86 5.67  9/10  44.00
   USDCAD  5  2    売 prev≤0 1351  0.02  7.51 2.55 8.39 10/11  21.24
   USDCAD  7  2    買 prev≤0 1018  0.02  7.02 4.65 5.30 11/11  16.02
   USDCAD  7  3    買 prev≤0 1078  0.02  6.84 4.13 5.63 11/11  22.95
   USDCAD  5  1    売 prev≤0 1404  0.01  6.65 3.29 6.35 11/11  17.70
   USDCAD  7  4    買 prev≤0 1150  0.02  6.31 3.91 5.04 11/11  26.45
   USDCAD  7  1    買 prev≤0 1021  0.01  6.13 3.66 5.33 11/11   9.92
   USDCAD  4  3    売 prev≤0 1274  0.02  5.78 2.55 5.74 11/11  23.06
   USDCAD  6  4    買 prev≤0 1059  0.02  5.57 4.44 3.38 11/11  19.42
    GOLD.  5  2    売 prev≤0  843  0.02  5.48 5.59 2.11  8/11  19.62
  XAUEUR.  4  3    売 prev≤0  707  0.04  5.45 6.16 2.04  7/10  31.70
    GOLD.  8  1    買 prev≤0 1150  0.03  5.25 3.37 4.08 11/11  30.68
   USDCAD  8  2    買 prev≤0 1215  0.01  4.98 3.57 3.51  9/11  15.54
   USDCAD  7  9    買 prev≤0 1227  0.03  4.91 2.44 4.73 10/11  31.90
   USDCAD  4  2    売 prev≤0 1351  0.01  4.62 2.39 4.16  9/11  18.43
   USDCAD  6  3    買 prev≤0 1024  0.01  4.44 3.58 2.63 10/11  12.36
   USDCAD  7  6    買 prev≤0 1220  0.02  4.42 1.99 4.62 11/11  23.95
  XAUEUR.  8  1    買 prev≤0  962  0.02  4.38 1.75 4.04  9/10  23.70
   USDCAD  6 15    買 prev≤0 1146  0.03  4.32 2.61 3.54 10/11  35.92
   USDCAD  6  9    買 prev≤0 1142  0.02  4.24 2.63 3.48 11/11  23.77
   USDCAD  6  6    買 prev≤0 1110  0.02  4.18 2.71 3.31 10/11  20.75
    GOLD.  4  6    買 prev≤0  955  0.04  3.94 2.27 3.23  8/11  40.84
  XAUEUR.  7  1    買 prev≤0  491  0.03  3.86 3.61 2.33  9/10  14.93
    GOLD.  5  4    買 prev≤0  940  0.03  3.83 2.33 3.04  9/11  25.30
US100Cash  7  9    買 prev≤0  775  0.08  3.82 3.16 2.20 10/11  65.08
US500Cash  7  9    買 prev≤0  799  0.07  3.82 3.55 1.61 10/11  54.58
    GOLD.  4 12    買 prev≤0  962  0.06  3.80 2.29 3.05  9/11  59.19
    GOLD.  7  2    買 prev≤0  695  0.03  3.73 4.19 1.82  9/11  22.36
US100Cash  5 15    買 prev≤0  873  0.10  3.73 2.54 2.74 10/11  85.14
US100Cash  8 12    買 prev≤0 1122  0.08  3.71 3.05 2.20  9/11  84.84
US100Cash  9  9    買 prev≤0 1168  0.06  3.71 3.36 1.89  7/11  72.24
  XAUEUR.  1  6    売 prev≤0  649  0.05  3.69 3.34 2.09  7/10  35.05
US100Cash 19 12    買 prev≤0  629  0.19  3.68 2.93 2.37 11/11 118.10
    GOLD.  8  2    買 prev≤0 1262  0.02  3.65 2.29 2.91 11/11  31.17
   USDCAD  7 12    買 prev≤0 1219  0.02  3.64 1.88 3.39 10/11  29.72
  XAUEUR.  7  2    買 prev≤0  492  0.04  3.63 3.67 2.38  9/10  18.38
US100Cash 16 15    買 prev≤0  628  0.19  3.63 3.21 2.15 11/11 119.88
    GOLD.  4 18    買 prev≤0  926  0.09  3.63 2.19 2.90 10/11  81.58
   EURUSD  6  6    買 prev≤0 1034  0.01  3.59 1.74 3.26  9/11  14.83
   USDCAD  3  3    売 prev≤0 1289  0.01  3.56 1.60 3.50 10/11  19.19

== prev>0(順張り側) で同条件: 39セル ==
          sym  h  k side    flt    n  mean     t   t1    t2   yrs    tot
GerTech30Cash 17  1    買 prev>0  941  0.18 10.44 1.75 10.54   7/7 169.08
       USDCAD  7  1    買 prev>0 1655  0.01 10.33 4.70 11.32 10/11  23.97
       USDCAD  7  2    買 prev>0 1658  0.02  9.50 4.03  9.96 11/11  28.52
GerTech30Cash 17  2    買 prev>0  947  0.17  9.06 1.93  9.04   7/7 164.68
      XAUEUR.  7  2    買 prev>0  949  0.06  8.95 9.30  4.29  8/10  58.42
       USDCAD  7  3    買 prev>0 1598  0.02  8.74 4.70  7.62 11/11  32.56
      XAUEUR.  7  1    買 prev>0  943  0.05  8.31 9.12  3.89  8/10  50.65
      XAUEUR.  7  3    買 prev>0  891  0.06  7.90 7.40  4.37  9/10  56.94
       USDCAD  6  3    買 prev>0 1473  0.02  7.30 3.73  6.51 11/11  23.12
       USDCAD  6  4    買 prev>0 1438  0.02  7.27 4.15  6.04 11/11  27.87
       USDCAD  6  2    買 prev>0 1427  0.01  6.85 3.49  6.35 11/11  19.61
GerTech30Cash 17  3    買 prev>0  878  0.15  6.48 2.15  6.12   6/7 130.63
        GOLD.  7  1    買 prev>0 1104  0.03  6.29 6.04  3.31 10/11  33.27
 GerMid50Cash 17  2    買 prev>0  925  0.12  6.07 2.27  5.64   7/7 110.20
        GOLD.  7  2    買 prev>0 1091  0.03  5.21 5.99  2.02 10/11  37.17
