name,path,tmode,spread,bid,swl,sws,swm,vmin,contract,cur,grp
USDCNH,Forex\Standard\Exotics\USDCNH,0,39,6.7039,-1.45,-10.66,1,0.01,100000.0,CNH,Forex
USDDKK,Forex\Standard\Exotics\USDDKK,0,398,6.51149,-19.95,-79.64,1,0.01,100000.0,DKK,Forex
USDHKD,Forex\Standard\Exotics\USDHKD,0,42,7.8428,-3.03,-8.98,1,0.01,100000.0,HKD,Forex
USDHUF,Forex\Standard\Exotics\USDHUF,0,869,316.873,-47.45,-16.35,1,0.01,100000.0,HUF,Forex
USDMXN,Forex\Standard\Exotics\USDMXN,0,2404,17.20998,-333.48,54.02,1,0.01,100000.0,MXN,Forex
USDNOK,Forex\Standard\Exotics\USDNOK,0,1936,9.41115,-84.51,-58.04,1,0.01,100000.0,NOK,Forex
USDPLN,Forex\Standard\Exotics\USDPLN,0,526,3.79683,-29.31,-28.7,1,0.01,100000.0,PLN,Forex
USDSEK,Forex\Standard\Exotics\USDSEK,0,1461,9.81816,-25.53,-133.22,1,0.01,100000.0,SEK,Forex
USDSGD,Forex\Standard\Exotics\USDSGD,0,215,1.27411,-1.84,-17.84,1,0.01,100000.0,SGD,Forex
USDTRY,Forex\Standard\Exotics\USDTRY,0,5047,48.64991,-6665.87,1302.83,1,0.01,100000.0,TRY,Forex
USDZAR,Forex\Standard\Exotics\USDZAR,0,181,16.2856,-40.99,4.61,1,0.01,100000.0,ZAR,Forex
EURUSD,Forex\Standard\Majors\EURUSD,0,21,1.14755,-7.87,1.43,1,0.01,100000.0,USD,Forex
GBPUSD,Forex\Standard\Majors\GBPUSD,0,25,1.33913,-3.7,-4.1,1,0.01,100000.0,USD,Forex
USDCAD,Forex\Standard\Majors\USDCAD,0,33,1.39882,1.03,-10.6,1,0.01,100000.0,CAD,Forex
USDCHF,Forex\Standard\Majors\USDCHF,0,28,0.82384,3.87,-13.33,1,0.01,100000.0,CHF,Forex
USDJPY,Forex\Standard\Majors\USDJPY,0,28,155.552,2.11,-29.59,1,0.01,100000.0,JPY,Forex
AUDUSD,Forex\Standard\Minors\AUDUSD,0,27,0.71167,-0.86,-3.36,1,0.01,100000.0,USD,Forex
NZDUSD,Forex\Standard\Minors\NZDUSD,0,31,0.57366,-4.28,-0.89,1,0.01,100000.0,USD,Forex
CHFSGD.,Forex\XMZero\Exotics\CHFSGD.,4,229,1.54646,-18.66,-5.82,1,0.01,100000.0,SGD,Forex
EURDKK.,Forex\XMZero\Exotics\EURDKK.,4,351,7.47354,-54.27,-63.28,1,0.01,100000.0,DKK,Forex
EURHKD.,Forex\XMZero\Exotics\EURHKD.,4,395,9.00139,-72.27,-69.28,1,0.01,100000.0,HKD,Forex
EURHUF.,Forex\XMZero\Exotics\EURHUF.,4,522,363.9,-67.03,-5.08,1,0.01,100000.0,HUF,Forex
EURNOK.,Forex\XMZero\Exotics\EURNOK.,4,1380,10.80509,-140.22,-27.12,1,0.01,100000.0,NOK,Forex
EURPLN.,Forex\XMZero\Exotics\EURPLN.,4,476,4.358,-51.53,-16.82,1,0.01,100000.0,PLN,Forex
EURSEK.,Forex\XMZero\Exotics\EURSEK.,4,914,11.27159,-67.26,-102.36,1,0.01,100000.0,SEK,Forex
EURSGD.,Forex\XMZero\Exotics\EURSGD.,4,109,1.46296,-8.17,-15.06,1,0.01,100000.0,SGD,Forex
EURTRY.,Forex\XMZero\Exotics\EURTRY.,4,7256,55.95702,-6562.17,539.83,1,0.01,100000.0,TRY,Forex
EURZAR.,Forex\XMZero\Exotics\EURZAR.,4,1425,18.69346,-414.51,30.89,1,0.01,100000.0,ZAR,Forex
GBPDKK.,Forex\XMZero\Exotics\GBPDKK.,4,1069,8.7177,-25.79,-110.82,1,0.01,100000.0,DKK,Forex
GBPNOK.,Forex\XMZero\Exotics\GBPNOK.,4,1808,12.6081,-111.02,-83.42,1,0.01,100000.0,NOK,Forex
GBPSEK.,Forex\XMZero\Exotics\GBPSEK.,4,1359,13.15208,-25.24,-171.54,1,0.01,100000.0,SEK,Forex
GBPSGD.,Forex\XMZero\Exotics\GBPSGD.,4,233,1.70665,-2.25,-24.75,1,0.01,100000.0,SGD,Forex
NZDSGD.,Forex\XMZero\Exotics\NZDSGD.,4,139,0.73104,-4.46,-9.45,1,0.01,100000.0,SGD,Forex
SGDJPY.,Forex\XMZero\Exotics\SGDJPY.,4,119,121.956,-9.41,-9.41,1,0.01,100000.0,JPY,Forex
USDDKK.,Forex\XMZero\Exotics\USDDKK.,4,328,6.51184,-19.95,-79.64,1,0.01,100000.0,DKK,Forex
USDHKD.,Forex\XMZero\Exotics\USDHKD.,4,28,7.8435,-3.03,-8.98,1,0.01,100000.0,HKD,Forex
USDHUF.,Forex\XMZero\Exotics\USDHUF.,4,616,317.0,-47.45,-16.35,1,0.01,100000.0,HUF,Forex
USDMXN.,Forex\XMZero\Exotics\USDMXN.,4,1704,17.21348,-333.48,54.02,1,0.01,100000.0,MXN,Forex
USDNOK.,Forex\XMZero\Exotics\USDNOK.,4,1676,9.41245,-84.51,-58.04,1,0.01,100000.0,NOK,Forex
USDPLN.,Forex\XMZero\Exotics\USDPLN.,4,381,3.79756,-29.31,-28.7,1,0.01,100000.0,PLN,Forex
USDSEK.,Forex\XMZero\Exotics\USDSEK.,4,1311,9.81891,-25.53,-133.22,1,0.01,100000.0,SEK,Forex
USDSGD.,Forex\XMZero\Exotics\USDSGD.,4,120,1.27459,-1.84,-17.84,1,0.01,100000.0,SGD,Forex
USDTRY.,Forex\XMZero\Exotics\USDTRY.,4,4347,48.65341,-6665.87,1302.83,1,0.01,100000.0,TRY,Forex
USDZAR.,Forex\XMZero\Exotics\USDZAR.,4,151,16.2871,-40.99,4.61,1,0.01,100000.0,ZAR,Forex
CADCHF.,Forex\XMZero\Majors\CADCHF.,4,18,0.58898,1.23,-6.18,1,0.01,100000.0,CHF,Forex
CADJPY.,Forex\XMZero\Majors\CADJPY.,4,23,111.218,-1.08,-11.48,1,0.01,100000.0,JPY,Forex
CHFJPY.,Forex\XMZero\Majors\CHFJPY.,4,26,188.847,-16.27,-5.97,1,0.01,100000.0,JPY,Forex
EURCAD.,Forex\XMZero\Majors\EURCAD.,4,21,1.60522,-6.3,-6.92,1,0.01,100000.0,CAD,Forex
EURCHF.,Forex\XMZero\Majors\EURCHF.,4,23,0.94553,0.73,-11.49,1,0.01,100000.0,CHF,Forex
EURGBP.,Forex\XMZero\Majors\EURGBP.,4,10,0.85688,-6.15,1.06,1,0.01,100000.0,GBP,Forex
EURJPY.,Forex\XMZero\Majors\EURJPY.,4,12,178.551,-6.2,-19.17,1,0.01,100000.0,JPY,Forex
EURUSD.,Forex\XMZero\Majors\EURUSD.,4,3,1.14764,-7.87,1.43,1,0.01,100000.0,USD,Forex
GBPCAD.,Forex\XMZero\Majors\GBPCAD.,4,36,1.87316,0.31,-16.14,1,0.01,100000.0,CAD,Forex
GBPCHF.,Forex\XMZero\Majors\GBPCHF.,4,34,1.10335,5.35,-17.75,1,0.01,100000.0,CHF,Forex
GBPJPY.,Forex\XMZero\Majors\GBPJPY.,4,10,208.338,3.09,-40.51,1,0.01,100000.0,JPY,Forex
GBPUSD.,Forex\XMZero\Majors\GBPUSD.,4,10,1.3392,-3.7,-4.1,1,0.01,100000.0,USD,Forex
USDCAD.,Forex\XMZero\Majors\USDCAD.,4,15,1.3989099999999999,1.03,-10.6,1,0.01,100000.0,CAD,Forex
USDCHF.,Forex\XMZero\Majors\USDCHF.,4,13,0.82391,3.87,-13.33,1,0.01,100000.0,CHF,Forex
USDJPY.,Forex\XMZero\Majors\USDJPY.,4,4,155.564,2.11,-29.59,1,0.01,100000.0,JPY,Forex
AUDCAD.,Forex\XMZero\Minors\AUDCAD.,4,23,0.99556,1.64,-10.12,1,0.01,100000.0,CAD,Forex
AUDCHF.,Forex\XMZero\Minors\AUDCHF.,4,16,0.58645,4.6,-9.62,1,0.01,100000.0,CHF,Forex
AUDJPY.,Forex\XMZero\Minors\AUDJPY.,4,19,110.721,4.04,-16.59,1,0.01,100000.0,JPY,Forex
AUDNZD.,Forex\XMZero\Minors\AUDNZD.,4,28,1.24035,-0.27,-10.48,1,0.01,100000.0,NZD,Forex
AUDUSD.,Forex\XMZero\Minors\AUDUSD.,4,11,0.71175,-0.86,-3.36,1,0.01,100000.0,USD,Forex
EURAUD.,Forex\XMZero\Minors\EURAUD.,4,29,1.61216,-17.33,1.37,1,0.01,100000.0,AUD,Forex
EURNZD.,Forex\XMZero\Minors\EURNZD.,4,37,1.99986,-13.99,-9.78,1,0.01,100000.0,NZD,Forex
GBPAUD.,Forex\XMZero\Minors\GBPAUD.,4,27,1.88131,-12.25,-6.36,1,0.01,100000.0,AUD,Forex
GBPNZD.,Forex\XMZero\Minors\GBPNZD.,4,61,2.33364,-2.41,-20.11,1,0.01,100000.0,NZD,Forex
NZDCAD.,Forex\XMZero\Minors\NZDCAD.,4,22,0.80254,-3.51,-5.52,1,0.01,100000.0,CAD,Forex
NZDCHF.,Forex\XMZero\Minors\NZDCHF.,4,21,0.47272,1.23,-6.07,1,0.01,100000.0,CHF,Forex
NZDJPY.,Forex\XMZero\Minors\NZDJPY.,4,20,89.264,-1.51,-11.91,1,0.01,100000.0,JPY,Forex
NZDUSD.,Forex\XMZero\Minors\NZDUSD.,4,14,0.57375,-4.28,-0.89,1,0.01,100000.0,USD,Forex
AUS200Cash,Derivatives\Cash\Cash Indices\AUS200Cash,4,300,8722.79,-1.79,0.33,3,0.1,1.0,AUD,Derivatives
EU50Cash,Derivatives\Cash\Cash Indices\EU50Cash,4,230,6300.9,-0.91,-0.05,3,0.1,1.0,EUR,Derivatives
FRA40Cash,Derivatives\Cash\Cash Indices\FRA40Cash,4,230,8165.93,-1.18,-0.07,3,0.1,1.0,EUR,Derivatives
GER40Cash,Derivatives\Cash\Cash Indices\GER40Cash,4,260,25694.2,-3.33,-0.22,3,0.1,1.0,EUR,Derivatives
HK50Cash,Derivatives\Cash\Cash Indices\HK50Cash,4,11,24560.0,-4.05,-0.08,3,0.1,1.0,HKD,Derivatives
IT40Cash,Derivatives\Cash\Cash Indices\IT40Cash,4,15,52216.0,-7.52,-0.45,3,0.1,1.0,EUR,Derivatives
JP225Cash,Derivatives\Cash\Cash Indices\JP225Cash,4,8,64262.0,-4.45,-1.48,3,0.1,1.0,JPY,Derivatives
NETH25Cash,Derivatives\Cash\Cash Indices\NETH25Cash,4,45,1098.14,-0.16,-0.01,3,0.1,1.0,EUR,Derivatives
SWI20Cash,Derivatives\Cash\Cash Indices\SWI20Cash,4,600,13969.7,-1.13,-1.16,3,0.1,1.0,CHF,Derivatives
UK100Cash,Derivatives\Cash\Cash Indices\UK100Cash,4,240,10730.8,-1.99,0.22,3,0.1,1.0,GBP,Derivatives
US100Cash,Derivatives\Cash\Cash Indices\US100Cash,4,290,29142.68,-4.61,0.52,3,0.1,1.0,USD,Derivatives
US30Cash,Derivatives\Cash\Cash Indices\US30Cash,4,600,51860.0,-8.23,0.93,3,0.1,1.0,USD,Derivatives
US500Cash,Derivatives\Cash\Cash Indices\US500Cash,4,80,7602.23,-1.21,0.14,3,0.1,1.0,USD,Derivatives
GOLD.,Derivatives\Spot Metals Zero\GOLD.,4,16,4312.74,-84.84,18.59,1,0.01,100.0,USD,Derivatives
SILVER.,Derivatives\Spot Metals Zero\SILVER.,4,44,63.835,-19.83,4.1,1,0.01,5000.0,USD,Derivatives
ErsteGroupBank,Stocks\EU\Austria\ErsteGroupBank,4,0,0.0,-7.18,-2.82,5,0.08,10.0,EUR,Stocks
RaiffeisenBank,Stocks\EU\Austria\RaiffeisenBank,4,0,0.0,-7.18,-2.82,5,0.14,10.0,EUR,Stocks
BruxellesLambert,Stocks\EU\Belgium\BruxellesLambert,4,0,0.0,-7.18,-2.82,5,0.13,10.0,EUR,Stocks
