signal_date,entry_date,exit_date,exit_type,ticker,name,direction,entry_open,pnl_pct,win
2025-01-03,2025-01-06,2025-01-08,TP,3086.T,Ｊ．フロント　リテイリング,SELL,2134.0,5.0,True
2025-01-03,2025-01-06,2025-01-09,TP,4204.T,積水化学工業,SELL,2749.0,5.0,True
2025-01-06,2025-01-07,2025-01-15,MAXHOLD,3086.T,Ｊ．フロント　リテイリング,SELL,2058.0,3.45,True
2025-01-06,2025-01-07,2025-01-10,TP,4204.T,積水化学工業,SELL,2678.0,5.0,True
2025-01-07,2025-01-08,2025-01-10,TP,4204.T,積水化学工業,SELL,2657.0,5.0,True
2025-01-08,2025-01-09,2025-01-10,TP,3064.T,ＭｏｎｏｔａＲＯ,BUY,2507.0,5.0,True
2025-01-08,2025-01-09,2025-01-17,TP,4186.T,東京応化工業,SELL,3761.0,5.0,True
2025-01-09,2025-01-10,2025-01-14,RSI,4042.T,東ソー,SELL,2097.5,1.406,True
2025-01-10,2025-01-14,2025-01-21,MAXHOLD,2914.T,日本たばこ産業,BUY,3940.0,-1.599,False
2025-01-10,2025-01-14,2025-01-21,MAXHOLD,3402.T,東レ,SELL,1021.5,-1.468,False
2025-01-10,2025-01-14,2025-01-15,STOP,3626.T,ＴＩＳ,BUY,3598.0,-3.0,False
2025-01-15,2025-01-16,2025-01-23,MAXHOLD,2801.T,キッコーマン,BUY,1618.0,-0.216,False
2025-01-15,2025-01-16,2025-01-23,MAXHOLD,3349.T,コスモス薬品,SELL,7499.0,3.56,True
2025-01-16,2025-01-17,2025-01-24,MAXHOLD,1801.T,大成建設,BUY,6310.0,0.65,True
2025-01-17,2025-01-20,2025-01-27,RSI,1812.T,鹿島建設,BUY,2622.0,3.738,True
2025-01-17,2025-01-20,2025-01-27,MAXHOLD,3387.T,クリエイト・レストランツ・ホールディングス,SELL,636.637,-1.798,False
2025-01-20,2025-01-21,2025-01-27,RSI,1812.T,鹿島建設,BUY,2670.0,1.873,True
2025-01-24,2025-01-27,2025-02-03,MAXHOLD,1605.T,ＩＮＰＥＸ,BUY,1888.0,-2.278,False
2025-01-27,2025-01-28,2025-01-29,STOP,3231.T,野村不動産ホールディングス,SELL,821.616,-3.0,False
2025-01-27,2025-01-28,2025-02-04,RSI,3861.T,王子ホールディングス,SELL,631.5,4.545,True
2025-01-28,2025-01-29,2025-02-04,RSI,3861.T,王子ホールディングス,SELL,621.0,2.931,True
2025-01-30,2025-01-31,2025-02-05,STOP,3635.T,コーエーテクモホールディングス,SELL,1960.0,-3.0,False
2025-01-31,2025-02-03,2025-02-04,STOP,4307.T,野村総合研究所,SELL,5102.0,-3.0,False
2025-02-03,2025-02-04,2025-02-12,MAXHOLD,4063.T,信越化学工業,BUY,4651.0,0.839,True
2025-02-03,2025-02-04,2025-02-12,MAXHOLD,4307.T,野村総合研究所,SELL,5405.0,2.202,True
2025-02-05,2025-02-06,2025-02-13,STOP,1925.T,大和ハウス工業,SELL,4900.0,-3.0,False
2025-02-05,2025-02-06,2025-02-13,STOP,4205.T,日本ゼオン,SELL,1462.0,-3.0,False
2025-02-05,2025-02-06,2025-02-14,MAXHOLD,4307.T,野村総合研究所,SELL,5392.0,0.686,True
2025-02-06,2025-02-07,2025-02-17,MAXHOLD,2282.T,日本ハム,BUY,4467.0,-0.403,False
2025-02-06,2025-02-07,2025-02-17,MAXHOLD,2768.T,双日,SELL,3328.0,1.442,True
2025-02-06,2025-02-07,2025-02-17,MAXHOLD,4272.T,日本化薬,SELL,1400.0,1.786,True
2025-02-07,2025-02-10,2025-02-17,STOP,2327.T,日鉄ソリューションズ,SELL,4270.0,-3.0,False
